P1 wins;P2 wins;P1 average turn time;P2 average turn time;Depth;Algorithm
0;50;0.0003435043999967194;0.00035515913749918583;(3, 3);Negamax
0;50;0.00034589249600003313;0.004125249486664365;(3, 7);Negamax
50;0;0.004647320288889003;0.00031834327333096253;(7, 3);Negamax
0;50;0.004255279027997858;0.003979031222228411;(7, 7);Negamax
0;50;0.00098594702800483;0.0009514208888893133;(3, 3);NegamaxNoPruning
0;50;0.0010098993440028606;0.007464693982217088;(3, 7);NegamaxNoPruning
50;0;0.008257683217781654;0.0009708566400068877;(7, 3);NegamaxNoPruning
0;50;0.0076912263960030045;0.0074500801155535454;(7, 7);NegamaxNoPruning
0;50;0.0003826178639988029;0.00037915795555869004;(3, 3);NonRecursiveNegamax
0;50;0.00036729792599862776;0.023400660635553922;(3, 7);NonRecursiveNegamax
50;0;0.030606198122223857;0.00035881644444493244;(7, 3);NonRecursiveNegamax
0;50;0.026791495230003876;0.023031981728887933;(7, 7);NonRecursiveNegamax
0;50;0.00036439799333089044;0.0003805387749957845;(3, 3);Expectiminimax
0;50;0.00034467060200040584;0.004096878922228422;(3, 7);Expectiminimax
50;0;0.004840853028884137;0.0003310315244450774;(7, 3);Expectiminimax
0;50;0.00422619103000352;0.003957532308885574;(7, 7);Expectiminimax
